Year,N_admale_posth,N_adfemale_posth,N_y1male_posth,N_y1female_posth,N_ymale_posth,N_yfemale_posth,Nfawnmale_posth,N_fawnfemale_posth,N_postharvest,N_admale_mid,N_adfemale_mid,N_y1male_mid,N_y1female_mid,N_ymale_mid,N_yfemale_mid,birth_malefawn,birth_femalefawn,N_midseason,N_admale_preh,N_adfemale_preh,N_y1male_preh,N_y1female_preh,N_ymale_preh,N_yfemale_preh,N_fawnmale_preh,N_fawnfemale_preh,N_preharvest,Model_Harvest,Model_harvest_adM,Model_harvest_adF,Model_harvest_y1M,Model_harvest_y1F,Model_harvest_yM,Model_harvest_yF,Model_harvest_fawnM,Model_harvest_fawnF,N_CFawn,N_Cyear,N_CY1,N_Cadult
1,9408,15684,917,1349,4975,6521,6708,8985,54547,8639,15043,4162,5759,4790,6353,17277,17277,79300,7228,13286,3482,5086,4148,5943,13383,13383,65939,7907,2458,2259,627,458,456,713,535,401,26766,10091,8568,20514
2,4770,11027,2855,4628,3692,5230,12848,12982,58032,6380,13826,3089,4619,9175,9180,15674,15674,77617,5338,12211,2584,4079,7946,8587,12141,12141,65027,7477,1815,2076,465,367,874,1030,486,364,24282,16533,6663,17549
3,3523,10135,2119,3712,7072,7557,11655,11777,57550,4720,12229,5917,6674,8323,8328,15955,15955,78101,3949,10800,4951,5894,7208,7790,12359,12359,65310,7193,1343,1836,891,530,793,935,494,371,24718,14998,10845,14749
4,2606,8964,4060,5364,6415,6855,11865,11988,58117,5577,12654,5367,6054,8473,8477,15814,15814,78230,4666,11176,4490,5347,7338,7930,12249,12249,65445,7391,1586,1900,808,481,807,952,490,367,24498,15268,9837,15842
5,3080,9276,3682,4866,6531,6978,11759,11882,58054,5657,12490,5464,6163,8398,8402,15763,15763,78100,4733,11031,4572,5443,7273,7859,12210,12210,65331,7394,1609,1875,823,490,800,943,488,366,24420,15132,10015,15764
6,3124,9156,3749,4953,6473,6916,11722,11844,57937,5750,12461,5416,6108,8371,8375,15693,15693,77867,4811,11005,4531,5394,7249,7834,12156,12156,65136,7396,1636,1871,816,485,797,940,486,365,24312,15083,9925,15816
7,3175,9134,3715,4909,6452,6894,11670,11791,57740,5765,12402,5398,6089,8334,8337,15627,15627,77579,4823,10953,4516,5378,7217,7799,12105,12105,64896,7376,1640,1862,813,484,794,936,484,363,24210,15016,9894,15776
8,3183,9091,3703,4894,6423,6863,11621,11742,57520,5761,12351,5374,6061,8299,8303,15560,15560,77269,4820,10908,4496,5353,7187,7767,12053,12053,64637,7351,1639,1854,809,482,791,932,482,362,24106,14954,9849,15728
9,3181,9054,3687,4871,6396,6835,11571,11691,57286,5746,12298,5351,6037,8263,8267,15495,15495,76952,4807,10861,4477,5332,7156,7733,12002,12002,64370,7321,1634,1846,806,480,787,928,480,360,24004,14889,9809,15668
10,3173,9015,3671,4852,6369,6805,11522,11642,57049,5726,12247,5329,6010,8228,8232,15429,15429,76630,4791,10816,4459,5308,7126,7700,11951,11951,64102,7294,1629,1839,803,478,784,924,478,359,23902,14826,9767,15607
11,3162,8977,3656,4830,6342,6776,11473,11592,56808,5704,12194,5306,5984,8193,8197,15362,15362,76302,4772,10769,4439,5285,7095,7668,11899,11899,63826,7261,1622,1831,799,476,780,920,476,357,23798,14763,9724,15541
12,3150,8938,3640,4809,6315,6748,11423,11542,56565,5681,12141,5284,5960,8158,8161,15297,15297,75979,4753,10723,4421,5264,7065,7634,11849,11849,63558,7231,1616,1823,796,474,777,916,474,355,23698,14699,9685,15476
13,3137,8900,3625,4790,6288,6718,11375,11494,56327,5657,12091,5261,5933,8123,8127,15232,15232,75656,4733,10678,4402,5240,7035,7602,11799,11799,63288,7200,1609,1815,792,472,774,912,472,354,23598,14637,9642,15411
14,3124,8863,3610,4768,6261,6690,11327,11445,56088,5634,12039,5238,5908,8089,8093,15167,15167,75335,4714,10633,4382,5218,7005,7570,11748,11748,63018,7171,1603,1808,789,470,771,908,470,352,23496,14575,9600,15347
15,3111,8825,3593,4748,6234,6662,11278,11396,55847,5609,11987,5216,5884,8054,8058,15103,15103,75014,4693,10587,4364,5197,6975,7538,11699,11699,62752,na,na,na,na,na,na,na,na,na,23398,14513,9561,15280
